category,search_term,title,identifier,url,mediatype,confidence_score,creator,publisher,page_count
film_and_cinema,Kenneth Anger,Kenneth Anger ☆ Ten Movies ☆ 1947-2007,kenneth-anger-six-movies-1947-1973,https://archive.org/details/kenneth-anger-six-movies-1947-1973,movies,80,Kenneth Anger,,
film_and_cinema,Roman Polanski,Rosemary's Baby,rosemarys-baby_202105,https://archive.org/details/rosemarys-baby_202105,movies,80,Roman Polanski,,
film_and_cinema,Roman Polanski,Filmography: Roman Polanski,roman-polanski-filmography,https://archive.org/details/roman-polanski-filmography,movies,80,Roman Polanski,,
film_and_cinema,Buffalo 66 vincent gallo,Buffalo 66,buffalo-66,https://archive.org/details/buffalo-66,movies,80,Vincent Gallo,,
film_and_cinema,Mulholland Drive david lynch,Mulholland Drive - Original TV pilot,mulholland-drive-tv-pilot,https://archive.org/details/mulholland-drive-tv-pilot,movies,80,David Lynch,,
film_and_cinema,Kenneth Anger,"House Of Strangers [1949] Dir. Joseph L. Mankiewicz, Starring Edward G. Robinson, Richard Conte, Susan Hayward",house-of-strangers-1949_202006,https://archive.org/details/house-of-strangers-1949_202006,movies,76,,,
film_and_cinema,Roman Polanski,"Playboy After Dark - S01E02 - Roman Polanski, Sharon Tate, Della Reese, Don Adams - 1968-07-24",playboy-after-dark-s01e02-1968-07-24,https://archive.org/details/playboy-after-dark-s01e02-1968-07-24,movies,76,Hugh Hefner,,
film_and_cinema,Kenneth Anger,Lucifer Rising (1972),LuciferRising1972720pBluRayX264Flac,https://archive.org/details/LuciferRising1972720pBluRayX264Flac,movies,75,Kenneth Anger,,
film_and_cinema,Benny's Video haneke,Benny's Video - Michael Haneke - 1992 sub Ita-Eng,bennys-video-michael-haneke-1992,https://archive.org/details/bennys-video-michael-haneke-1992,movies,75,Michael Haneke,,
film_and_cinema,Kenneth Anger,Inauguration of the Pleasure Dome - An Alternative Score,AvantopiaMeistsonnigIOTPD,https://archive.org/details/AvantopiaMeistsonnigIOTPD,movies,74,"Kenneth Anger, avantopia, meistsonnig",,
visual_art_and_artists,Alberto Giacometti,Alberto Giacometti : a retrospective exhibition,comett00giac,https://archive.org/details/comett00giac,texts,100,"Giacometti, Alberto, 1901-1966, Solomon R. Guggenheim Museum","New York Praeger, in association with the Solomon R. Guggenheim Museum",214
visual_art_and_artists,Alberto Giacometti,Giacometti; a sketchbook of interpretive drawings,giacomettisketch0000giac,https://archive.org/details/giacomettisketch0000giac,texts,100,"Giacometti, Alberto, 1901-1966","New York, H.N. Abrams",342
figures,Aleister Crowley,Book four,bookfour00crow,https://archive.org/details/bookfour00crow,texts,100,"Crowley, Aleister, 1875-1947, Virakam, Soror",[London : Wieland and Co.,228
