"category","search_term","title","identifier","url","mediatype","confidence_score","creator","publisher","page_count"
"literature","Charles Bukowski","War all the time : poems, 1981-1984","waralltimepoems100buko","https://archive.org/details/waralltimepoems100buko","texts","91","Bukowski, Charles","Santa Rosa : Black Sparrow Press","296"
"literature","William S. Burroughs","Junky : the definitive text of Junk","junkydefinitivet0000burr","https://archive.org/details/junkydefinitivet0000burr","texts","91","Burroughs, William S., 1914-1997","New York : Grove Press ; [Berkeley, Calif.] : Distributed by Publishers Group West","246"
"literature","William S. Burroughs","Cities of the red night","citiesofrednight00burr","https://archive.org/details/citiesofrednight00burr","texts","91","William S. Burroughs","Picador","358"
"literature","William S. Burroughs","The adding machine : selected essays","addingmachinesel00burr","https://archive.org/details/addingmachinesel00burr","texts","91","Burroughs, William S., 1914-1997","New York : Seaver Books : Distributed by H. Holt and Co.","228"
"literature","William S. Burroughs","The passenger pigeon","cu31924022523041","https://archive.org/details/cu31924022523041","texts","91","Mershon, William Butts, 1856-","New York, The Outing Pub. Co.","280"
"literature","Marquis de Sade","La nouvelle Justine, ou, Les malheurs de la vertu, ouvrage orné d'un frontispice et de 40 sujets gravés avec soin","lanouvellejusti00sadegoog","https://archive.org/details/lanouvellejusti00sadegoog","texts","91","Sade, marquis de, 1740-1814, author","Hollande : [publisher not identified]","389"
"literature","Marquis de Sade","Justine","justinesade00sade","https://archive.org/details/justinesade00sade","texts","91","Sade, marquis de, 1740-1814","New York : Book-of-the-Month Club","312"
"literature","Marquis de Sade","The marquis de Sade","marquisdesade00sade","https://archive.org/details/marquisdesade00sade","texts","91","Sade, marquis de, 1740-1814, Beauvoir, Simone de, 1908- Must we burn Sade?","New York, Grove Press","248"
"visual_art_and_artists","Francis Picabia","Francis Picabia","francispicabia00camf","https://archive.org/details/francispicabia00camf","texts","90","Camfield, William A","New York : Solomon R. Guggenheim Museum","174"
"visual_art_and_artists","Bauhaus","The Dessau Bauhaus building, 1926-1999","The_Dessau_Bauhaus_Building_1926-1999","https://archive.org/details/The_Dessau_Bauhaus_Building_1926-1999","texts","90","Kentgens-Craig, Margret, 1948-, Stiftung Bauhaus Dessau","Basel ; Boston : Birkhäuser","207"
